participant,block_order,trial_designator,p_c_tt1,p_c_tt2,p_c_tt3,p_c_tt4,p_ic_tt1,p_ic_tt2,p_ic_tt3,p_ic_tt4,t1_c_tt1,t1_c_tt2,t1_c_tt3,t1_c_tt4,t1_ic_tt1,t1_ic_tt2,t1_ic_tt3,t1_ic_tt4,t2_c_tt2,t2_c_tt2,t2_c_tt3,t2_c_tt4,t2_ic_tt2,t2_ic_tt2,t2_ic_tt3,t2_ic_tt4,t3_c_tt3,t3_c_tt2,t3_c_tt3,t3_c_tt4,t3_ic_tt3,t3_ic_tt2,t3_ic_tt3,t3_ic_tt4
Participant 22,Consistant,Target 6 Raw Latency,1466,1388,2309,2262,1513,1419,2090,2075,1450,2106,1420,1607,1888,1825,2730,1529,1263,1388,2559,1497,1918,1919,2153,1607,2574,1794,5367,2137,2028,2808,2746,4415
Participant 22,Consistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 22,Consistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 22,Consistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 22,Consistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 22,Consistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 22,Consistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 22,Consistant,Target 1 Accuracy,Correct,,Correct,Correct,Correct,Wrong,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct
Participant 22,Consistant,Target 2 Accuracy,Correct,Correct,Correct,,,Correct,Wrong,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,,Wrong,Correct,Correct
Participant 22,Consistant,Target 3 Accuracy,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Participant 22,Consistant,Target 4 Accuracy,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,,,Correct,,Wrong,Wrong,Correct,Correct,Correct,
Participant 22,Consistant,Target 5 Accuracy,Correct,Correct,Correct,Wrong,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct
Participant 22,Consistant,Target 6 Accuracy,,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,,Correct,,,Correct,,Correct,Correct,Correct,,,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct
Participant 22,Consistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 22,Consistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 22,Consistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 22,Consistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 22,Consistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 22,Consistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 27,Inconsistant,Target 1 Raw Latency,1014,1965,1747,1514,2371,1576,1903,1170,1747,1420,2012,1139,8658,4805,1419,1232,905,1358,1545,3011,1482,1326,1139,1045,1030,5959,1888,1997,3510,1482,2028,2449
Participant 27,Inconsistant,Target 2 Raw Latency,1154,1248,1311,1794,1404,1420,1123,1186,1451,1389,1731,1482,1248,1186,827,2418,1311,1123,2543,1404,1311,2714,1263,2637,1217,1046,2294,1654,2465,2605,5007,1358
Participant 27,Inconsistant,Target 3 Raw Latency,1232,1139,3416,983,1388,3011,1482,983,1061,1903,1154,1170,3213,1950,1607,2262,1872,1076,3026,1903,1701,2324,2044,1919,1014,1154,1654,1950,3011,2777,2450,4680
Participant 27,Inconsistant,Target 4 Raw Latency,936,1810,1825,3572,1342,1513,2746,1997,1092,2091,1654,1108,2169,1248,998,1341,1092,1263,1451,3791,1373,6458,1997,2917,889,1825,3198,1451,1762,1108,1529,5164
Participant 27,Inconsistant,Target 5 Raw Latency,2013,1107,1529,1794,1373,1856,1451,1310,1263,1264,1061,1264,1108,1279,1389,1591,1263,1451,1014,1653,2278,2480,1139,1497,1622,1513,2933,3620,1435,4914,1342,1279
Participant 27,Inconsistant,Target 6 Raw Latency,1217,1513,1903,1248,1701,1903,1545,2948,983,1388,904,1342,1482,1154,1560,1763,1045,1513,1170,1046,1872,2527,1841,3026,1030,1310,1092,1279,1248,1498,1607,6864
Participant 27,Inconsistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 27,Inconsistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 27,Inconsistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 27,Inconsistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 27,Inconsistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 27,Inconsistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 27,Inconsistant,Target 1 Accuracy,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,,Correct,Correct,Correct,Correct,,Wrong,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,,Wrong
Participant 27,Inconsistant,Target 2 Accuracy,Correct,Correct,,Correct,Correct,Correct,Wrong,,,Correct,Correct,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,
Participant 27,Inconsistant,Target 3 Accuracy,Correct,,Correct,Correct,,,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,,Correct,,Correct,,Correct,Wrong,Correct,Correct,,Correct,Wrong,,,Correct,Wrong
Participant 27,Inconsistant,Target 4 Accuracy,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,,Wrong,Wrong,Correct,Correct,Correct,Correct,,Wrong,Correct,Correct,Correct
Participant 27,Inconsistant,Target 5 Accuracy,,Correct,,Wrong,Correct,Correct,,Correct,Correct,,,Correct,,Correct,Correct,,Correct,Correct,,Correct,Correct,,Correct,Correct,,Correct,,Correct,Correct,Correct,,Correct
Participant 27,Inconsistant,Target 6 Accuracy,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,,Correct,Correct,,Correct,Correct,,Correct,,Correct,Correct,,Correct,Correct,Wrong,Correct,,Correct,Correct,Correct,Correct
Participant 27,Inconsistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 27,Inconsistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 27,Inconsistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 27,Inconsistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 27,Inconsistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 27,Inconsistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 32,Consistant,Target 1 Raw Latency,1732,2121,1514,1732,3620,1638,2512,2402,968,1591,873,1280,1497,1435,1826,1107,983,1388,1388,1888,1528,1420,3526,1108,827,1872,1310,1856,1155,1732,1107,1513
Participant 32,Consistant,Target 2 Raw Latency,1482,1748,1357,1794,2309,3463,1606,1794,858,1638,1389,1514,749,2278,1108,1326,811,1123,1794,2371,1201,1029,1435,1139,2481,1560,1388,1388,1419,1139,1263,1014
Participant 32,Consistant,Target 3 Raw Latency,1045,3105,1342,1389,1233,1607,1373,2137,1170,1685,1420,1685,1123,1077,1186,2699,1404,1482,2683,1451,2886,2980,1404,2060,1841,1264,1732,1514,1092,1544,1794,1263
Participant 32,Consistant,Target 4 Raw Latency,1420,1263,1419,1388,1623,2621,2527,1451,1435,1513,2122,1357,2278,1654,1419,1716,1029,3900,1591,1310,968,1186,1420,1263,1014,1170,2979,1123,1919,1342,1263,1124
Participant 32,Consistant,Target 5 Raw Latency,1295,1529,1264,1357,1358,1482,1420,1061,1279,2293,1201,2637,1794,3292,2371,1544,1388,4462,1310,1591,1560,1466,2730,3198,1327,2043,1061,1513,1264,2012,1201,2730
Participant 32,Consistant,Target 6 Raw Latency,1622,2543,2496,2294,1388,1030,1575,936,1014,1482,2325,1841,1342,1950,1872,1825,1778,1107,1419,1123,1513,2028,1311,1560,1154,1201,1669,1638,1466,1077,3931,1965
Participant 32,Consistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 32,Consistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 32,Consistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 32,Consistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 32,Consistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 32,Consistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 32,Consistant,Target 1 Accuracy,Correct,Correct,Correct,,,Wrong,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct
Participant 32,Consistant,Target 2 Accuracy,,Correct,,Correct,Correct,Wrong,,,Correct,,Correct,Correct,Correct,Correct,,,Wrong,Correct,Correct,,Wrong,Correct,Correct,,,Correct,,Correct,Correct,Correct,,
Participant 32,Consistant,Target 3 Accuracy,Correct,,Correct,Correct,Correct,Correct,,,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,
Participant 32,Consistant,Target 4 Accuracy,Correct,Correct,Correct,,,,,Correct,Correct,Correct,Correct,Correct,,,Correct,Correct,,,Correct,Correct,Correct,,Wrong,Correct,Correct,Correct,Correct,,,,,Correct
Participant 32,Consistant,Target 5 Accuracy,Correct,,Correct,Correct,Wrong,,Correct,,Correct,Correct,Correct,,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,
Participant 32,Consistant,Target 6 Accuracy,Correct,Correct,,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,,Wrong,Correct
Participant 32,Consistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 32,Consistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 32,Consistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 32,Consistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 32,Consistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 32,Consistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 37,Inconsistant,Target 1 Raw Latency,967,1435,2480,1372,983,11466,5288,1077,1638,1201,2371,1326,1170,1809,1420,1794,1154,2278,1248,1685,1139,2558,1420,1139,1841,1419,1591,1810,1451,1950,1638,1388
Participant 37,Inconsistant,Target 2 Raw Latency,1186,3588,1357,1232,1310,1685,1248,1809,951,1264,1638,1248,1467,1451,1310,1216,983,2512,1560,1498,1029,1404,1482,1263,1092,4883,1872,5226,1030,1029,1357,1076
Participant 37,Inconsistant,Target 3 Raw Latency,1264,1513,1450,1201,2777,2355,1794,2761,1154,1154,1263,2168,1560,2761,1280,3229,1794,3994,2278,1779,1342,1389,1264,2730,1154,1529,1607,1435,1451,1092,920,1232
Participant 37,Inconsistant,Target 4 Raw Latency,1622,1264,3728,1747,998,1638,1155,1529,2839,1045,1154,1186,1529,1794,2355,1201,1217,1404,5398,4399,1560,1248,1263,1139,998,2792,1763,1856,1045,1731,968,1825
Participant 37,Inconsistant,Target 5 Raw Latency,1076,1482,1232,3682,1638,1684,889,1451,1108,4976,1279,1669,1857,2481,1451,1997,967,9095,5460,1513,1591,1279,1404,1436,1435,1326,1997,1248,1279,1076,1638,2590
Participant 37,Inconsistant,Target 6 Raw Latency,967,1185,1373,2309,1997,1809,2575,1357,1108,1030,1575,1419,2216,1310,2496,1498,1326,2012,1263,1201,1279,1326,1248,1357,1217,1653,1794,1326,1155,1373,1934,1576
Participant 37,Inconsistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 37,Inconsistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 37,Inconsistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 37,Inconsistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 37,Inconsistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 37,Inconsistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 37,Inconsistant,Target 1 Accuracy,Correct,,Correct,,Correct,Wrong,Correct,Wrong,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,,,,Correct,Correct,Wrong,Correct,,Correct,,Correct,Correct,Correct,Correct
Participant 37,Inconsistant,Target 2 Accuracy,Correct,Correct,,,Correct,Correct,,,,,Correct,Correct,,,Correct,Correct,Correct,,Correct,Wrong,Correct,Correct,Correct,,Correct,Correct,,,Correct,Correct,,
Participant 37,Inconsistant,Target 3 Accuracy,Correct,Correct,,Correct,Correct,,Correct,Correct,,Correct,Correct,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,,Correct,Correct
Participant 37,Inconsistant,Target 4 Accuracy,Correct,,,Correct,,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,,Correct,,,Correct,Correct
Participant 37,Inconsistant,Target 5 Accuracy,,Correct,Correct,Wrong,Correct,Correct,Correct,,,Correct,Correct,,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,
Participant 37,Inconsistant,Target 6 Accuracy,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,,Correct,Correct,,,,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Participant 37,Inconsistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 37,Inconsistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 37,Inconsistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 37,Inconsistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 37,Inconsistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 37,Inconsistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 42,Consistant,Target 1 Raw Latency,4196,5038,1638,3542,2199,2090,2621,1467,1358,1903,1201,1763,1388,1232,3229,1513,1170,2496,2262,3276,1857,2090,1996,1545,1887,1279,1513,2294,982,1903,3214,1653
Participant 42,Consistant,Target 2 Raw Latency,1419,2465,2855,1216,1139,1779,1716,1731,3479,3510,3853,4508,2870,1607,1419,4024,1232,1404,1388,1716,3479,3291,14087,3416,936,1435,2028,1607,1030,2262,6194,1419
Participant 42,Consistant,Target 3 Raw Latency,1248,1279,2325,4196,1201,2012,1560,1841,3213,2387,1731,1592,1388,4508,1794,2215,1825,1654,7378,1186,1186,4134,1576,6224,1170,1295,5273,3214,2886,7301,2636,6708
Participant 42,Consistant,Target 4 Raw Latency,1779,2340,1389,2169,1217,1295,1451,2059,1388,1778,4150,2075,1763,2761,1404,2340,1591,1700,1326,1357,1263,1295,3244,4228,1139,2668,1810,2465,2449,2277,2231,2730
Participant 42,Consistant,Target 5 Raw Latency,936,4524,2481,1264,1326,4274,1778,1934,1856,1887,2449,4742,2262,1216,3932,1732,1232,3776,1794,2387,1185,1684,1981,1607,2309,1029,1872,1217,2371,3042,2200,11217
Participant 42,Consistant,Target 6 Raw Latency,1513,1856,1950,1279,1887,1685,1295,1420,2075,2386,2340,1419,1014,5507,1201,3042,4524,2543,1622,2714,1622,967,10499,1934,1155,4477,1810,1279,1732,1357,3120,1233
Participant 42,Consistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 42,Consistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 42,Consistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 42,Consistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 42,Consistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 42,Consistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 42,Consistant,Target 1 Accuracy,Correct,Correct,,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Wrong,Correct,,Correct,Wrong,Correct,Correct,Correct,Correct,,,Correct,,Correct,Correct
Participant 42,Consistant,Target 2 Accuracy,Correct,Correct,Correct,,Correct,,Correct,,Correct,,Correct,Correct,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,,Correct,
Participant 42,Consistant,Target 3 Accuracy,,,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,,Correct,Correct,,,Correct,Correct,,Correct,Correct,,,Wrong,Correct,,Correct,Correct,Correct
Participant 42,Consistant,Target 4 Accuracy,Correct,Correct,Wrong,Correct,,Correct,Correct,,,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,Wrong,
Participant 42,Consistant,Target 5 Accuracy,Correct,Correct,,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Wrong,,,Correct,Correct,,Wrong,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct
Participant 42,Consistant,Target 6 Accuracy,Correct,,Correct,,,Wrong,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,,,Correct,,Wrong
Participant 42,Consistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 42,Consistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 42,Consistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 42,Consistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 42,Consistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 42,Consistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 47,Inconsistant,Target 1 Raw Latency,1029,1107,2028,1294,1280,1310,1279,1466,1092,1295,1233,1513,1217,2558,3728,1513,1076,1436,1155,2247,1232,1622,1825,1716,1170,1498,1295,1513,1014,1233,2262,1747
Participant 47,Inconsistant,Target 2 Raw Latency,1201,1576,1123,1607,1279,1731,1810,1935,1077,1217,1341,1202,1123,1357,1731,2106,1420,1435,1372,1170,1825,1638,1326,1467,982,2652,1451,1373,952,1185,1295,1124
Participant 47,Inconsistant,Target 3 Raw Latency,1232,1544,1092,1482,2153,2371,2199,1232,1123,1669,2808,2184,1794,1513,1248,1607,1123,1450,1248,1232,1124,1342,1217,1498,1264,1826,1202,1201,1404,1981,1435,1420
Participant 47,Inconsistant,Target 4 Raw Latency,1607,1388,1170,2262,1124,1654,1575,1622,1498,1529,1264,1233,1358,2215,1233,2044,1123,1654,1139,1419,1280,1450,3682,5554,936,1373,1217,1545,1186,1341,1232,1076
Participant 47,Inconsistant,Target 5 Raw Latency,1653,1576,1217,1248,1061,1450,1529,1825,1732,1388,1701,1576,1529,1732,1233,1669,1342,1450,1950,1311,1154,1404,1373,2917,1451,1638,1638,1138,1045,1029,1544,1357
Participant 47,Inconsistant,Target 6 Raw Latency,1263,1279,1232,1560,1888,1638,2137,1357,1529,1560,1575,2043,1373,1825,1497,1716,1155,1373,1201,1654,1279,1981,2262,1435,1185,921,1061,1185,1108,1232,1124,1419
Participant 47,Inconsistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 47,Inconsistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 47,Inconsistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 47,Inconsistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 47,Inconsistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 47,Inconsistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 47,Inconsistant,Target 1 Accuracy,,Correct,Correct,Correct,Correct,,Correct,Wrong,Correct,Correct,,Correct,Correct,Correct,Wrong,,Correct,,,Correct,Wrong,Correct,Correct,,,Correct,Correct,Wrong,Correct,,Correct,Correct
Participant 47,Inconsistant,Target 2 Accuracy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,,,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Participant 47,Inconsistant,Target 3 Accuracy,Correct,Correct,Correct,,,Wrong,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,,Correct,,Correct
Participant 47,Inconsistant,Target 4 Accuracy,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct
Participant 47,Inconsistant,Target 5 Accuracy,Wrong,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,,,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,,Wrong,Correct,Correct,,Correct,Correct,Correct,Correct,
Participant 47,Inconsistant,Target 6 Accuracy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,,Correct,Correct,,Correct,Correct,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Participant 47,Inconsistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 47,Inconsistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 47,Inconsistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 47,Inconsistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 47,Inconsistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 47,Inconsistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 57,Inconsistant,Target 1 Raw Latency,1373,2122,2013,1623,1514,2559,1357,2512,1263,1124,1826,1373,1545,1794,1451,1466,1170,1108,1108,2074,1170,1622,1263,2496,967,1778,1139,1248,1232,2746,1248,999
Participant 57,Inconsistant,Target 2 Raw Latency,1419,2075,1342,2465,1950,3994,3385,1872,1295,1810,1482,2730,1638,2340,1966,1513,1357,1294,3588,1045,1701,2200,2028,1622,1435,1653,1310,1545,1560,1436,1186,1529
